Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request for SiteReportByDateRange,7,96,75,147,24.08,0.000%,7.47863,24.68,3.51,3379.0
TOTAL,7,96,75,147,24.08,0.000%,7.47863,24.68,3.51,3379.0
