Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP  POST Request,10,98,86,133,14.83,0.000%,10.16260,7.03,7.26,708.0
TOTAL,10,98,86,133,14.83,0.000%,10.16260,7.03,7.26,708.0
