Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP POST Request for Site,4,173,126,306,76.41,0.000%,4.58716,3.32,3.72,741.0
TOTAL,4,173,126,306,76.41,0.000%,4.58716,3.32,3.72,741.0
