Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,7,97,73,162,27.26,0.000%,7.38397,3.68,3.10,511.0
TOTAL,7,97,73,162,27.26,0.000%,7.38397,3.68,3.10,511.0
